date;seconds;direction;bid;ask;price
26/03/2001;40935;-1;66.00;66.10;66.00
26/03/2001;40973;1;66.00;66.05;66.08
26/03/2001;41071;1;66.00;66.10;66.10
26/03/2001;41181;1;66.10;66.15;66.15
26/03/2001;41387;1;66.20;66.30;66.30
26/03/2001;41388;1;66.20;66.30;66.30
26/03/2001;41389;1;66.20;66.30;66.30
26/03/2001;41390;1;66.20;66.30;66.30
26/03/2001;41401;1;66.20;66.30;66.30
26/03/2001;41482;-1;66.25;66.30;66.25
26/03/2001;41532;1;66.25;66.30;66.30
26/03/2001;41534;1;66.25;66.30;66.30
26/03/2001;41535;1;66.25;66.30;66.30
26/03/2001;41536;1;66.25;66.30;66.30
26/03/2001;41590;1;66.25;66.30;66.30
26/03/2001;41614;1;66.25;66.30;66.30
26/03/2001;41856;1;66.30;66.45;66.45
26/03/2001;41861;1;66.30;66.45;66.48
26/03/2001;42111;1;66.30;66.45;66.45
26/03/2001;42292;1;66.45;66.50;66.50
26/03/2001;42294;-1;66.45;66.50;66.45
26/03/2001;42309;-1;66.45;66.50;66.45
26/03/2001;42328;1;66.45;66.50;66.50
26/03/2001;42366;-1;66.50;66.55;66.50
26/03/2001;42374;1;66.50;66.55;66.55
26/03/2001;42388;1;66.50;66.55;66.55
26/03/2001;42392;1;66.50;66.55;66.55
26/03/2001;42416;1;66.50;66.55;66.55
26/03/2001;42477;-1;66.50;66.55;66.50
26/03/2001;42484;-1;66.50;66.55;66.50
26/03/2001;42499;-1;66.50;66.55;66.50
26/03/2001;42528;-1;66.50;66.55;66.50
26/03/2001;42536;-1;66.50;66.55;66.50
26/03/2001;42639;-1;66.35;66.40;66.35
26/03/2001;42724;-1;66.25;66.40;66.25
26/03/2001;42727;-1;66.25;66.40;66.25
26/03/2001;42753;-1;66.10;66.30;66.10
26/03/2001;42800;-1;66.10;66.15;66.10
26/03/2001;42809;-1;66.05;66.10;66.05
26/03/2001;42816;-1;66.05;66.10;66.05
26/03/2001;42818;-1;66.05;66.10;66.05
26/03/2001;42819;-1;66.05;66.10;66.05
26/03/2001;42830;-1;66.05;66.20;66.05
26/03/2001;42877;-1;65.55;66.20;65.55
26/03/2001;43067;-1;66.00;66.25;66.00
26/03/2001;43084;-1;66.00;66.15;66.00
26/03/2001;43108;1;65.60;66.00;66.00
26/03/2001;43157;1;66.00;66.05;66.05
26/03/2001;43177;-1;66.00;66.10;66.00
