date;time;price;q;direction
19/09/2003;95028;137.7;37;-1
19/09/2003;95039;137.8;19;1
19/09/2003;95040;137.7;644;-1
19/09/2003;95056;137.7;88;-1
19/09/2003;95105;137.7;18;-1
19/09/2003;95141;137.7;400;-1
19/09/2003;95234;137.8;500;1
19/09/2003;95257;137.9;70;1
19/09/2003;95308;137.8;1136;-1
19/09/2003;95340;137.9;157;1
19/09/2003;95341;137.9;2389;1
19/09/2003;95341;137.9;503;1
19/09/2003;95342;137.9;1452;-1
19/09/2003;95345;137.9;225;-1
19/09/2003;95352;137.9;364;-1
19/09/2003;95418;138;64;1
19/09/2003;95427;137.9;1734;-1
19/09/2003;95431;137.9;952;-1
19/09/2003;95431;137.9;271;-1
19/09/2003;95440;137.8;80;-1
19/09/2003;95446;137.8;32;-1
19/09/2003;95449;137.9;2000;1
19/09/2003;95455;137.9;500;-1
19/09/2003;95539;137.9;14;1
19/09/2003;95632;137.9;32;1
19/09/2003;95657;137.9;257;1
19/09/2003;95721;137.8;12;-1
19/09/2003;95854;137.9;31;1
19/09/2003;95920;137.8;6435;-1
19/09/2003;95921;137.8;265;1
19/09/2003;95924;137.8;300;1
19/09/2003;95924;137.8;1000;1
19/09/2003;95926;137.8;22;1
19/09/2003;95930;137.8;978;1
19/09/2003;95932;137.7;38;-1
19/09/2003;95934;137.8;1000;1
19/09/2003;95936;137.8;1500;1
19/09/2003;100012;137.7;70;-1
19/09/2003;100014;137.8;774;1
19/09/2003;100030;137.8;1;1
19/09/2003;100042;137.8;200;1
19/09/2003;100056;137.8;44;1
19/09/2003;100112;137.7;70;-1
19/09/2003;100127;137.8;60;1
19/09/2003;100134;137.7;6544;-1
19/09/2003;100202;137.7;50;1
19/09/2003;100258;137.7;496;1
19/09/2003;100300;137.6;51;-1
19/09/2003;100333;137.6;12;-1
19/09/2003;100338;137.6;10;-1
19/09/2003;100339;137.7;1819;1
19/09/2003;100342;137.7;1440;1
19/09/2003;100344;137.7;637;1
19/09/2003;100411;137.8;10;1
19/09/2003;100420;137.8;43;1
19/09/2003;100543;137.8;20;1
19/09/2003;100600;137.8;2500;1
19/09/2003;100613;137.7;220;-1
19/09/2003;100614;137.7;80;-1
19/09/2003;100617;137.7;100;1
19/09/2003;100620;137.7;385;-1
19/09/2003;100624;137.7;322;1
19/09/2003;100628;137.7;678;1
19/09/2003;100632;137.7;111;-1
19/09/2003;100656;137.7;104;-1
19/09/2003;100659;137.7;115;-1
19/09/2003;100700;137.7;209;-1
19/09/2003;100720;137.8;2;1
19/09/2003;100740;137.7;1000;-1
19/09/2003;100741;137.7;270;-1
19/09/2003;100742;137.7;10;1
19/09/2003;100745;137.7;139;1
19/09/2003;100752;137.7;144;-1
19/09/2003;100752;137.6;1200;-1
19/09/2003;100753;137.7;2856;1
19/09/2003;100756;137.7;1000;-1
19/09/2003;100758;137.7;70;1
19/09/2003;100758;137.7;719;-1
19/09/2003;100832;137.6;200;-1
19/09/2003;100842;137.7;15;1
19/09/2003;100843;137.7;303;1
19/09/2003;100847;137.7;697;-1
19/09/2003;100905;137.7;700;-1
19/09/2003;100930;137.6;59;-1
19/09/2003;101012;137.7;973;1
19/09/2003;101013;137.7;1943;1
19/09/2003;101038;137.7;210;1
